id,Name,Specialty,insurance provider,Appointment,Location (zip code),Latest Availability,Experience Level,Education,Online reviews,Gender of Doctor,Languages Spoken,Insurance Provider Supported
62,Alex Jones,Cardiology,Out-of-Network,In-Person,94043,Flexible,Low,High,Medium,Male,English,In-Network
63,Chris Miller,Anesthesiology,Out-of-Network,Online,10021,ASAP,Medium,Low,Low,Female,English,In-Network
64,Michael Johnson,Oncology,Out-of-Network,In-Person,48109,Flexible,Medium,Medium,High,Female,"English, Mandarin",In-Network
65,David Miller,Psychiatry,Out-of-Network,In-Person,27710,ASAP,Low,High,Medium,Female,"English, Arabic",In-Network
66,Laura Martinez,Endocrinology,In-Network,Online,60611,ASAP,Medium,Medium,Medium,Female,"English, Spanish, Russian",Out-of-Network
67,Laura Brown,Endocrinology,In-Network,In-Person,77030,Flexible,High,High,High,Male,"English, Spanish",Out-of-Network
68,Emily Martinez,Oncology,In-Network,In-Person,94043,ASAP,Low,Low,Medium,Female,"English, Spanish",In-Network
69,John Brown,Pulmonology,Out-of-Network,In-Person,55455,ASAP,High,High,Low,Female,English,In-Network
70,Sarah Garcia,Radiology,In-Network,In-Person,63110,Flexible,Low,High,High,Male,English,Out-of-Network
71,Alex Hernandez,Radiology,Out-of-Network,In-Person,33136,Flexible,Low,High,Low,Female,English,Out-of-Network
72,Katie Jones,General Practice,Out-of-Network,In-Person,98104,ASAP,Low,High,High,Male,English,In-Network
73,Katie Martinez,Endocrinology,In-Network,Online,02114,Flexible,Medium,High,Medium,Male,English,Out-of-Network
74,Sarah Garcia,Surgery,In-Network,In-Person,94110,Flexible,Low,Medium,Medium,Male,"English, Korean",In-Network
75,John Miller,Endocrinology,In-Network,In-Person,90210,ASAP,Low,High,High,Female,English,Out-of-Network
76,Michael Williams,Oncology,Out-of-Network,In-Person,44106,ASAP,Low,Medium,Medium,Female,"English, German",In-Network
77,Sarah Miller,Otolaryngology (ENT),In-Network,Online,60611,ASAP,Low,Low,Medium,Female,"English, French",Out-of-Network
78,Chris Davis,Pediatrics,Out-of-Network,In-Person,10021,Flexible,Low,High,High,Male,English,Out-of-Network
79,Alex Miller,Pediatrics,Out-of-Network,In-Person,48109,ASAP,High,Low,Medium,Male,English,In-Network
80,David Johnson,Surgery,In-Network,Online,44106,Flexible,High,High,Medium,Female,"English, Mandarin, Korean",In-Network
81,David Davis,Neurology,Out-of-Network,In-Person,60611,Flexible,Medium,Low,Low,Male,English,In-Network
82,Laura Williams,Pulmonology,In-Network,In-Person,94043,Flexible,Medium,Medium,High,Male,"English, Arabic, Hindi",In-Network
83,John Hernandez,Endocrinology,In-Network,Online,94110,Flexible,Low,Low,Medium,Male,English,In-Network
84,Chris Smith,General Practice,Out-of-Network,Online,90210,Flexible,Medium,High,Low,Female,English,Out-of-Network
85,Chris Johnson,Urology,Out-of-Network,Online,94043,Flexible,Medium,Low,Medium,Female,English,In-Network
86,David Garcia,Oncology,Out-of-Network,In-Person,80206,Flexible,Medium,High,Low,Male,English,In-Network
87,Emily Miller,Neurology,Out-of-Network,Online,94110,Flexible,High,Low,Medium,Female,English,Out-of-Network
88,Emily Smith,Cardiology,In-Network,In-Person,94043,ASAP,Low,Low,Low,Male,English,In-Network
89,David Miller,Urology,Out-of-Network,Online,94110,ASAP,High,Low,High,Female,English,In-Network
90,Laura Johnson,Anesthesiology,In-Network,In-Person,90095,ASAP,Medium,High,High,Female,English,Out-of-Network
91,David Garcia,Ophthalmology,In-Network,Online,90210,Flexible,Low,Medium,Medium,Female,English,In-Network
92,Sarah Brown,Neurology,In-Network,In-Person,94110,Flexible,Low,Low,Low,Female,"English, Japanese",In-Network
93,Sarah Williams,Cardiology,In-Network,Online,63110,ASAP,Medium,Medium,Medium,Male,"English, Arabic",Out-of-Network
94,Sarah Martinez,Anesthesiology,In-Network,In-Person,48109,Flexible,Low,Medium,Low,Female,"English, Russian",In-Network
95,Emily Williams,Pediatrics,Out-of-Network,Online,60611,Flexible,High,Medium,High,Female,"English, Arabic, Portuguese",Out-of-Network
96,John Martinez,Family Medicine,Out-of-Network,In-Person,94305,Flexible,Medium,High,Medium,Female,"English, German",Out-of-Network
97,Michael Garcia,Pulmonology,Out-of-Network,Online,80206,ASAP,Low,Low,Low,Male,English,Out-of-Network
98,Emily Garcia,General Practice,In-Network,Online,55455,Flexible,High,High,Medium,Male,"English, Japanese",Out-of-Network
99,Chris Hernandez,Psychiatry,Out-of-Network,Online,44106,ASAP,Medium,Low,Medium,Male,"English, Hindi, German",In-Network
100,Katie Jones,Pediatrics,Out-of-Network,Online,90210,Flexible,Medium,Medium,High,Male,English,Out-of-Network
101,John Williams,Family Medicine,Out-of-Network,In-Person,92697,Flexible,Medium,Low,High,Male,"English, French",Out-of-Network
102,John Jones,Orthopedics,In-Network,In-Person,94305,Flexible,Medium,Medium,Low,Male,English,Out-of-Network
103,Chris Brown,Neurology,In-Network,Online,55455,ASAP,Medium,Low,High,Male,English,In-Network
104,Jane Davis,Internal Medicine,Out-of-Network,Online,48109,ASAP,Low,High,Low,Female,"English, French",In-Network
105,Katie Williams,Ophthalmology,Out-of-Network,In-Person,44106,ASAP,Medium,Low,Medium,Male,English,Out-of-Network
106,Chris Smith,Orthopedics,In-Network,Online,77030,Flexible,High,Low,Medium,Female,English,In-Network
107,Katie Jones,Anesthesiology,In-Network,In-Person,94110,ASAP,Medium,High,Medium,Female,English,In-Network
108,Sarah Martinez,Pediatrics,Out-of-Network,Online,10021,Flexible,Medium,High,Medium,Male,English,In-Network
109,Alex Miller,Orthopedics,In-Network,Online,48109,Flexible,Low,Low,Medium,Male,English,Out-of-Network
110,Katie Garcia,Otolaryngology (ENT),Out-of-Network,In-Person,44106,ASAP,Low,Medium,High,Female,English,Out-of-Network
111,John Davis,Obstetrics & Gynecology (OB/GYN),In-Network,Online,90095,ASAP,Medium,Low,High,Male,English,In-Network
112,Alex Jones,Ophthalmology,In-Network,In-Person,98104,ASAP,Medium,High,Medium,Female,"English, Russian",Out-of-Network
113,Chris Williams,Gastroenterology,Out-of-Network,In-Person,44106,ASAP,Medium,Low,High,Male,"English, Russian, Arabic",In-Network
114,Jane Miller,Urology,In-Network,In-Person,21287,Flexible,Low,Low,Low,Female,"English, German",Out-of-Network
115,Michael Smith,Orthopedics,In-Network,In-Person,77030,ASAP,Low,Low,Medium,Male,"English, Arabic, Hindi",Out-of-Network
116,Katie Smith,Surgery,In-Network,In-Person,21287,Flexible,High,Medium,Medium,Male,English,In-Network
117,Chris Williams,Obstetrics & Gynecology (OB/GYN),Out-of-Network,In-Person,60611,ASAP,Low,Medium,Low,Female,"English, Russian",Out-of-Network
118,Jane Garcia,Obstetrics & Gynecology (OB/GYN),In-Network,In-Person,63110,ASAP,Low,Medium,High,Male,English,Out-of-Network
119,Chris Hernandez,General Practice,In-Network,Online,77030,ASAP,Medium,Medium,Low,Female,"English, Russian",In-Network
120,Jane Davis,Pulmonology,In-Network,Online,92697,Flexible,High,Low,High,Male,English,In-Network
121,David Smith,Neurology,In-Network,In-Person,60611,Flexible,High,High,Medium,Male,"English, Portuguese",In-Network
122,David Garcia,Orthopedics,In-Network,Online,90210,Flexible,High,High,Medium,Female,English,In-Network
123,Sarah Jones,Endocrinology,In-Network,In-Person,80206,ASAP,Medium,Medium,Medium,Male,"English, German",In-Network
124,Chris Williams,Obstetrics & Gynecology (OB/GYN),Out-of-Network,In-Person,19104,Flexible,High,High,Medium,Male,English,Out-of-Network
125,Sarah Johnson,Family Medicine,In-Network,In-Person,90210,ASAP,High,High,High,Female,"English, French, Spanish",In-Network
126,Alex Jones,Orthopedics,Out-of-Network,In-Person,33136,ASAP,Low,Medium,High,Male,"English, Spanish, Korean",In-Network
127,Michael Johnson,Obstetrics & Gynecology (OB/GYN),Out-of-Network,Online,10021,ASAP,Medium,Low,Medium,Male,"English, Korean, Portuguese",In-Network
128,John Martinez,Dermatology,In-Network,In-Person,48109,ASAP,Medium,High,Low,Male,"English, Spanish, Korean",In-Network
129,Laura Jones,Internal Medicine,In-Network,In-Person,94110,Flexible,Medium,Low,High,Male,English,Out-of-Network
130,Laura Hernandez,Pulmonology,Out-of-Network,In-Person,63110,ASAP,High,Low,High,Female,English,Out-of-Network
131,Jane Hernandez,Internal Medicine,Out-of-Network,In-Person,60611,ASAP,Medium,High,High,Male,"English, Mandarin, Hindi",In-Network
132,Michael Johnson,Oncology,Out-of-Network,In-Person,90095,Flexible,Low,High,High,Female,"English, Mandarin",Out-of-Network
133,Jane Davis,Ophthalmology,Out-of-Network,In-Person,80206,Flexible,Medium,Low,Low,Female,English,In-Network
134,John Davis,Pediatrics,Out-of-Network,In-Person,19104,ASAP,Medium,High,High,Female,"English, French",Out-of-Network
135,Emily Smith,Oncology,In-Network,In-Person,63110,Flexible,Medium,High,High,Female,English,In-Network
136,Sarah Johnson,General Practice,Out-of-Network,Online,19104,ASAP,Medium,Medium,Low,Female,English,Out-of-Network
137,Chris Smith,Family Medicine,In-Network,In-Person,27710,Flexible,Low,High,High,Female,English,Out-of-Network
138,Alex Brown,Surgery,Out-of-Network,Online,19104,Flexible,High,Low,Low,Female,"English, Hindi, Japanese",Out-of-Network
139,Alex Davis,Surgery,In-Network,Online,90095,Flexible,Medium,High,High,Female,English,Out-of-Network
140,Emily Garcia,Otolaryngology (ENT),Out-of-Network,In-Person,21287,ASAP,Low,Low,Medium,Male,"English, Portuguese, Spanish",Out-of-Network
141,John Davis,Internal Medicine,Out-of-Network,Online,60611,ASAP,Medium,High,Medium,Female,English,In-Network
142,Emily Garcia,Urology,Out-of-Network,In-Person,19104,ASAP,Medium,Medium,Medium,Female,English,In-Network
143,Jane Miller,Ophthalmology,In-Network,In-Person,48109,Flexible,High,Medium,Low,Male,English,In-Network
144,Katie Williams,Gastroenterology,In-Network,In-Person,10021,ASAP,Low,High,High,Female,"English, Arabic",Out-of-Network
145,David Smith,Radiology,In-Network,Online,02114,ASAP,High,Low,High,Male,"English, Russian, Japanese",Out-of-Network
146,Chris Miller,Pulmonology,Out-of-Network,In-Person,77030,ASAP,Medium,High,Medium,Female,English,Out-of-Network
147,Jane Miller,Neurology,In-Network,In-Person,77030,Flexible,Low,High,High,Male,English,In-Network
148,Jane Davis,Gastroenterology,Out-of-Network,Online,90210,ASAP,High,High,High,Female,English,In-Network
149,Katie Jones,Pediatrics,In-Network,Online,44106,Flexible,High,High,High,Female,English,In-Network
150,Katie Martinez,Gastroenterology,In-Network,In-Person,60611,Flexible,High,Low,Medium,Male,"English, Spanish, Korean",Out-of-Network
151,Chris Hernandez,Orthopedics,Out-of-Network,In-Person,27710,ASAP,High,Medium,Low,Male,English,In-Network
152,Alex Williams,Neurology,Out-of-Network,Online,33136,Flexible,Medium,Low,Medium,Female,English,Out-of-Network
153,Katie Williams,Obstetrics & Gynecology (OB/GYN),Out-of-Network,In-Person,98104,Flexible,Low,Medium,Medium,Female,English,Out-of-Network
154,David Garcia,Pediatrics,Out-of-Network,In-Person,94110,ASAP,Low,Low,High,Female,"English, Mandarin, Spanish",In-Network
155,David Brown,Pediatrics,Out-of-Network,In-Person,94110,Flexible,Medium,Low,Low,Female,"English, Portuguese",In-Network
156,John Davis,Dermatology,Out-of-Network,In-Person,77030,ASAP,High,Low,High,Female,"English, Mandarin, French",Out-of-Network
157,Katie Garcia,Endocrinology,In-Network,In-Person,94043,ASAP,Low,Medium,Low,Female,English,In-Network
158,Alex Martinez,Cardiology,In-Network,Online,19104,Flexible,High,Medium,Low,Male,English,In-Network
159,Katie Smith,General Practice,Out-of-Network,Online,94110,ASAP,Low,Low,High,Male,English,Out-of-Network
160,Emily Martinez,Pulmonology,In-Network,In-Person,92697,ASAP,Medium,Medium,Low,Female,English,Out-of-Network
161,Jane Jones,Otolaryngology (ENT),Out-of-Network,In-Person,90210,Flexible,High,Low,Medium,Male,English,Out-of-Network
162,Alex Garcia,Internal Medicine,Out-of-Network,Online,92697,Flexible,High,Low,High,Male,"English, Spanish, Japanese",In-Network
163,John Johnson,Ophthalmology,Out-of-Network,In-Person,90210,ASAP,Low,Low,High,Female,English,In-Network
164,Laura Miller,Surgery,Out-of-Network,Online,21287,Flexible,Low,Medium,Medium,Male,"English, Russian",In-Network
165,Laura Johnson,Surgery,Out-of-Network,In-Person,44106,Flexible,Medium,Low,High,Female,English,In-Network
166,Sarah Smith,Orthopedics,In-Network,Online,94305,ASAP,Medium,Low,High,Male,English,Out-of-Network
167,John Jones,Internal Medicine,In-Network,In-Person,80206,Flexible,Medium,Medium,High,Female,"English, Japanese, Korean",Out-of-Network
168,Laura Davis,Cardiology,In-Network,In-Person,80206,ASAP,High,Low,Low,Female,"English, Arabic, German",Out-of-Network
169,John Martinez,Oncology,Out-of-Network,Online,02114,Flexible,High,Medium,Low,Male,"English, Japanese, Korean",Out-of-Network
170,Chris Miller,Endocrinology,In-Network,In-Person,55455,ASAP,Low,Medium,Medium,Female,"English, Korean",In-Network
171,Jane Davis,Anesthesiology,In-Network,Online,48109,ASAP,High,High,Medium,Male,"English, Spanish",In-Network
172,John Garcia,Anesthesiology,Out-of-Network,In-Person,48109,ASAP,High,High,Low,Male,English,In-Network
173,Laura Brown,Pediatrics,Out-of-Network,Online,63110,ASAP,High,High,High,Female,"English, Mandarin, German",Out-of-Network
174,Jane Miller,Orthopedics,Out-of-Network,Online,80206,Flexible,Medium,Medium,High,Female,English,In-Network
175,David Hernandez,Cardiology,In-Network,Online,98104,Flexible,Medium,Medium,High,Male,English,In-Network
176,Emily Davis,Otolaryngology (ENT),In-Network,Online,19104,Flexible,Medium,High,Low,Female,English,Out-of-Network
177,Jane Hernandez,Neurology,Out-of-Network,In-Person,19104,Flexible,Medium,High,High,Male,"English, Arabic",Out-of-Network
178,David Brown,Urology,Out-of-Network,In-Person,90210,Flexible,Low,Medium,Low,Female,English,Out-of-Network
179,Sarah Williams,Urology,Out-of-Network,Online,90210,ASAP,Medium,High,Low,Male,"English, Japanese, Portuguese",In-Network
180,David Jones,Anesthesiology,Out-of-Network,Online,80206,Flexible,High,High,High,Male,"English, Russian, Mandarin",Out-of-Network
181,Sarah Davis,Neurology,Out-of-Network,In-Person,21287,Flexible,Medium,Medium,Low,Male,"English, Spanish",Out-of-Network
182,Sarah Miller,Anesthesiology,In-Network,Online,60611,Flexible,Low,Low,High,Female,English,Out-of-Network
183,Laura Martinez,Urology,Out-of-Network,Online,55455,Flexible,Medium,Low,Medium,Male,"English, Korean, Mandarin",Out-of-Network
184,Jane Williams,Family Medicine,Out-of-Network,Online,48109,Flexible,Low,Low,Medium,Male,English,In-Network
185,Laura Hernandez,Psychiatry,In-Network,In-Person,94043,Flexible,Medium,High,High,Male,"English, Spanish, Korean",Out-of-Network
186,John Brown,Surgery,In-Network,In-Person,10021,ASAP,Low,Low,High,Female,"English, Japanese",In-Network
187,Alex Garcia,Oncology,Out-of-Network,In-Person,94110,Flexible,High,Medium,Medium,Male,"English, Russian",In-Network
188,Michael Johnson,Psychiatry,In-Network,In-Person,27710,ASAP,High,Low,Medium,Female,English,Out-of-Network
189,John Brown,Orthopedics,Out-of-Network,In-Person,27710,Flexible,Medium,Low,High,Female,English,Out-of-Network
190,Katie Brown,Neurology,Out-of-Network,In-Person,60611,Flexible,Low,Medium,Low,Female,"English, Japanese, German",In-Network
191,David Williams,Urology,In-Network,In-Person,90095,Flexible,Medium,Medium,Medium,Female,"English, Russian, German",In-Network
192,Alex Smith,Psychiatry,Out-of-Network,Online,33136,ASAP,Medium,High,High,Female,English,Out-of-Network
193,John Johnson,General Practice,Out-of-Network,Online,27710,ASAP,Medium,High,Medium,Female,English,Out-of-Network
194,Sarah Jones,Pediatrics,Out-of-Network,Online,60611,Flexible,Medium,Medium,Medium,Female,"English, Korean, Japanese",Out-of-Network
195,Sarah Hernandez,Gastroenterology,In-Network,Online,92697,Flexible,High,High,Medium,Female,English,In-Network
196,Alex Jones,General Practice,In-Network,Online,19104,Flexible,High,Medium,Medium,Female,"English, French",In-Network
197,Chris Jones,Orthopedics,In-Network,Online,94110,ASAP,High,High,High,Male,"English, Spanish",In-Network
198,Jane Williams,Surgery,Out-of-Network,Online,48109,ASAP,Medium,Medium,Low,Male,"English, Korean, French",In-Network
199,Laura Davis,Gastroenterology,In-Network,Online,92697,ASAP,Medium,High,Medium,Female,"English, German, Russian",In-Network
200,Jane Garcia,Internal Medicine,Out-of-Network,Online,94043,Flexible,Medium,Low,Medium,Female,"English, Korean",Out-of-Network
201,Emily Hernandez,Dermatology,Out-of-Network,Online,19104,ASAP,Low,Low,Low,Female,"English, Spanish",In-Network
202,Laura Garcia,Radiology,In-Network,Online,10021,ASAP,Medium,High,High,Male,English,Out-of-Network
203,John Jones,Gastroenterology,Out-of-Network,In-Person,90095,ASAP,Medium,Medium,Medium,Female,English,In-Network
204,Alex Davis,Pediatrics,Out-of-Network,Online,94110,ASAP,Low,Low,High,Male,English,Out-of-Network
205,Chris Garcia,Dermatology,Out-of-Network,In-Person,63110,ASAP,Medium,Medium,High,Male,English,Out-of-Network
206,David Brown,Family Medicine,Out-of-Network,In-Person,90210,Flexible,Medium,Medium,Medium,Female,English,In-Network
207,Chris Brown,Anesthesiology,In-Network,Online,80206,Flexible,High,Low,Low,Male,English,Out-of-Network
208,Chris Miller,Family Medicine,Out-of-Network,In-Person,90095,ASAP,Medium,High,High,Male,English,Out-of-Network
209,Jane Brown,Obstetrics & Gynecology (OB/GYN),Out-of-Network,In-Person,27710,ASAP,Low,High,High,Male,English,In-Network
210,John Martinez,Surgery,In-Network,In-Person,94043,Flexible,Medium,Medium,Low,Male,English,In-Network
211,Katie Johnson,Orthopedics,In-Network,In-Person,21287,ASAP,Medium,Low,Low,Female,English,In-Network
212,Alex Garcia,Otolaryngology (ENT),In-Network,Online,63110,Flexible,Low,High,High,Female,English,Out-of-Network
213,David Hernandez,Cardiology,In-Network,Online,98104,Flexible,Low,Low,Low,Female,"English, French",In-Network
214,Emily Miller,Radiology,Out-of-Network,Online,90095,Flexible,Low,Medium,High,Female,"English, Spanish",In-Network
215,Sarah Garcia,Family Medicine,In-Network,In-Person,94043,Flexible,Low,High,Medium,Male,English,In-Network
216,Sarah Brown,Oncology,In-Network,Online,27710,Flexible,High,Low,Medium,Male,English,Out-of-Network
217,Jane Hernandez,Family Medicine,In-Network,In-Person,60611,ASAP,High,High,Medium,Male,"English, Portuguese, Spanish",Out-of-Network
218,Alex Brown,Family Medicine,In-Network,In-Person,90210,Flexible,High,Low,High,Male,"English, Arabic",In-Network
219,Jane Garcia,Family Medicine,Out-of-Network,Online,21287,Flexible,Low,High,Low,Female,"English, Mandarin",Out-of-Network
220,John Davis,Oncology,Out-of-Network,In-Person,33136,Flexible,Medium,High,Low,Female,English,Out-of-Network
221,Michael Smith,Dermatology,In-Network,Online,92697,ASAP,High,High,Medium,Male,English,In-Network
222,David Davis,Pulmonology,In-Network,Online,55455,ASAP,Medium,High,High,Male,English,Out-of-Network
223,David Garcia,Obstetrics & Gynecology (OB/GYN),In-Network,In-Person,90210,ASAP,Medium,Low,Low,Female,English,In-Network
224,David Davis,Urology,Out-of-Network,Online,48109,Flexible,Medium,Low,High,Male,English,Out-of-Network
225,Jane Martinez,Dermatology,In-Network,Online,55455,ASAP,Low,Low,Low,Male,English,In-Network
226,Alex Davis,Surgery,In-Network,Online,33136,ASAP,Medium,Low,Low,Female,"English, Portuguese",In-Network
227,Chris Jones,Gastroenterology,Out-of-Network,Online,02114,Flexible,High,Medium,Low,Male,"English, Spanish, Korean",In-Network
228,Katie Jones,Otolaryngology (ENT),Out-of-Network,In-Person,48109,ASAP,Medium,Low,Medium,Male,"English, Russian, French",In-Network
229,John Hernandez,Ophthalmology,In-Network,Online,90210,ASAP,Medium,High,High,Female,English,Out-of-Network
230,David Martinez,Internal Medicine,Out-of-Network,Online,21287,ASAP,Low,High,Medium,Female,"English, Hindi, German",Out-of-Network
231,Katie Miller,Urology,In-Network,In-Person,48109,Flexible,Medium,Low,Medium,Female,"English, Mandarin, Japanese",Out-of-Network
232,Jane Johnson,Oncology,In-Network,Online,80206,Flexible,Medium,High,Low,Female,"English, French, Hindi",In-Network
233,Laura Martinez,Ophthalmology,In-Network,Online,60611,ASAP,Medium,Low,Low,Female,English,In-Network
234,David Davis,Dermatology,Out-of-Network,In-Person,77030,ASAP,Medium,Medium,Medium,Male,English,In-Network
235,Chris Smith,Urology,In-Network,In-Person,80206,ASAP,Medium,High,Low,Male,"English, French, Portuguese",In-Network
236,Chris Williams,Cardiology,In-Network,In-Person,48109,ASAP,High,Low,High,Male,"English, Japanese, German",Out-of-Network
